@relation dokumenty
@attribute _title string
@attribute content string
@data
"Robots Beware   e-print repository httpsarxivorghe8","Robots Beware  arXiv e-print repository https  arxiv org help robots  Page   https  webanalytics library cornell edu piwik php?idsite= rec=  CornellUniversity https  static arxiv org static base  images cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv https  static arxiv org static base  images arxiv-logo-web svg Help  Advanced SearchAll fields Title Author Abstract Comments Journal reference ACM classificationMSC classification Report number arXiv identifier DOI ORCID arXiv author IDHelp pages Full textSearchLoginSearch HelpSearch  arXiv   Help   Robots Beware  Robots Beware_Indiscriminate automated downloads from this site are_ not _permitted _ Wehave limited server capacity and our first priority is to support interactiveuse by our many human users Several interfaces designed to provide machineaccess to arXiv are provided See our OAI-PMH arXiv API and RSSdocumentation There are also facilities for bulk data download  Millions and billions of distinct URL'sThe arXiv org website is under all-too-frequent attack from robots spidersand accelerators that mindlessly download every link encountered ultimatelytrying to access the entire database through the listings links Obviously large search engines offer an invaluable service to web users and we work withthem to find efficient and effective ways to index arXiv content In manycases however we are subject to accidental denial-of-service attacks bywell-intentioned but thoughtless novices ignorant of common sense guidelines Following the de-facto standard for robot exclusion this site has maintainedsince early a file robots txt that specifies those URL's that are off-limits to robots and this Robots Beware page was originally posted March Mindlessly downloading all of the URLs on this site will return terabytes ofdata This has very real cost to us in terms of bandwidth consumed and interms of the responsiveness of our service for our many tens of thousands ofreal users This server is configured to monitor activity and deny access to sites thatviolate the above guidelines Continued rapid-fire requests from any siteafter access has been denied i e with _ Access denied_ HTTP response will be interpreted as an attack and we will respond accordingly �� withouthesitation and without further warning If some specific application requires relaxation of the above guidelines contact the arXiv administrators _in advance_ of any attempted download  icon https  arxiv org icons smullnb gif Robots Beware revision   Last modified -- Feedback?  About arXiv  Leadership Team  __Contact  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
"Astrophysics httpsarxivorgarchiveastro-ph  Page 99","Astrophysics https  arxiv org archive astro-ph  Page   https  static arxiv org icons close-slider png  Donate to arXivPlease join the Simons Foundation and our generous member organizations insupporting arXiv during our giving campaign  of your contribution willfund improvements and new initiatives to benefit arXiv's global scientificcommunity  DONATE  secure site no need to create account   https  webstats arxiv org matomo php?idsite= rec=  Cornell University https  static arxiv org icons cu cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv org > astro-phAll fields Title Author s Abstract Comments Journal reference ACMclassification MSC classification Report number arXiv identifier DOI ORCIDarXiv author ID Help pages Full text Help  Advanced search  Astrophysics since April For a _specific paper_  enter the identifier into the top right search box    Browse     new most recent mailing with abstracts    recent last mailings    current month's astro-ph listings   specific year month  all months Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    Catch-up  Changes since                  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec                view results without with abstracts    Search  within the astro-ph archive  Article statistics by year                Categories within Astrophysics   astro-ph GA - Astrophysics of Galaxies  new recent current month Phenomena pertaining to galaxies or the Milky Way Star clusters HII regionsand planetary nebulae the interstellar medium atomic and molecular clouds dust Stellar populations Galactic structure formation dynamics Galacticnuclei bulges disks halo Active Galactic Nuclei supermassive black holes quasars Gravitational lens systems The Milky Way and its contents   astro-ph CO - Cosmology and Nongalactic Astrophysics  new recent current month Phenomenology of early universe cosmic microwave background cosmologicalparameters primordial element abundances extragalactic distance scale large-scale structure of the universe Groups superclusters voids intergalactic medium Particle astrophysics dark energy dark matter baryogenesis leptogenesis inflationary models reheating monopoles WIMPs cosmic strings primordial black holes cosmological gravitational radiation   astro-ph EP - Earth and Planetary Astrophysics  new recent current month Interplanetary medium planetary physics planetary astrobiology extrasolarplanets comets asteroids meteorites Structure and formation of the solarsystem   astro-ph HE - High Energy Astrophysical Phenomena  new recent current month Cosmic ray production acceleration propagation detection Gamma rayastronomy and bursts X-rays charged particles supernovae and otherexplosive phenomena stellar remnants and accretion systems jets microquasars neutron stars pulsars black holes   astro-ph IM - Instrumentation and Methods for Astrophysics  new recent current month Detector and telescope design experiment proposals Laboratory Astrophysics Methods for data analysis statistical methods Software database design   astro-ph SR - Solar and Stellar Astrophysics  new recent current month White dwarfs brown dwarfs cataclysmic variables Star formation andprotostellar systems stellar astrobiology binary and multiple systems ofstars stellar evolution and structure coronas Central stars of planetarynebulae Helioseismology solar neutrinos production and detection ofgravitational radiation from stellar systems  About arXiv  Leadership Team  __Contact Us  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
"Search   e-print repository httpsarxivorgsearchast10","Search  arXiv e-print repository https  arxiv org search astro-ph  Page  https  webstats arxiv org matomo php?idsite= rec=  CornellUniversity https  static arxiv org static base  images cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv https  static arxiv org static base  images arxiv-logo-web svg Help  Advanced SearchAll fields Title Author Abstract Comments Journal reference ACM classificationMSC classification Report number arXiv identifier DOI ORCID arXiv author IDHelp pages Full textSearchLogin  SearchSearch v released --  Feedback?Searching in archive  astro-ph  Search in all archives Search term or termsField All fieldsTitleAuthor s AbstractCommentsJournal referenceACMclassificationMSC classificationReport numberarXiv identifierDOIORCIDLicense URI arXiv author IDHelp pagesFull textSearchShow abstracts Hide abstractsAdvanced Search   Searching by Author Name  Using the  Author s field  produces best results for author name searches   For the most precise name search follow  surname s  forename s  or  surname s  initial s  pattern example Hawking S or Hawking Stephen  For best results on multiple author names  separate individuals with a   semicolon  Example Jin D S Ye J  Author names enclosed in quotes will return only  exact matches  For example  Stephen Hawking will not return matches for Stephen W Hawking   Diacritic character variants are automatically searched in the Author s field   Queries with no punctuation will treat each term independently  TipsWildcards   Use ? to replace a single character or  to replace any number of characters   Can be used in any field but not in the first character position See Journal References tips for exceptions Expressions   TeX expressions can be searched enclosed in single  characters Phrases   Enclose phrases in double quotes for exact matches in title abstract and comments Dates   Sorting by announcement date will use the year and month the _original version_ v of the paper was announced   Sorting by submission date will use the year month and day the _latest version_ of the paper was submitted Journal References   If a journal reference search contains a wildcard matches will be made using wildcard matching as expected For example  math  will match _math_  _maths_  _mathematics_   If a journal reference search does  not  contain a wildcard only exact phrases entered will be matched For example  math  would match _math_ or _math and science_ but not _maths_ or _mathematics_   All journal reference searches that do not contain a wildcard are literal searches a search for  Physica A  will match all papers with journal references containing _Physica A_  but a search for  Physica A     will only return the paper with journal reference _Physica A   _ Search v released --  Feedback?  About arXiv  Leadership Team  __Contact  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
"Condensed Matter httpsarxivorgarchivecond-mat  Pag11","Condensed Matter https  arxiv org archive cond-mat  Page   https  static arxiv org icons close-slider png  Donate to arXivPlease join the Simons Foundation and our generous member organizations insupporting arXiv during our giving campaign  of your contribution willfund improvements and new initiatives to benefit arXiv's global scientificcommunity  DONATE  secure site no need to create account   https  webstats arxiv org matomo php?idsite= rec=  Cornell University https  static arxiv org icons cu cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv org > cond-matAll fields Title Author s Abstract Comments Journal reference ACMclassification MSC classification Report number arXiv identifier DOI ORCIDarXiv author ID Help pages Full text Help  Advanced search  Condensed Matter since April For a _specific paper_  enter the identifier into the top right search box    Browse     new most recent mailing with abstracts    recent last mailings    current month's cond-mat listings   specific year month  all months Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    Catch-up  Changes since                  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec                view results without with abstracts    Search  within the cond-mat archive  Article statistics by year                Categories within Condensed Matter   cond-mat dis-nn - Disordered Systems and Neural Networks  new recent current month    cond-mat mtrl-sci - Materials Science  new recent current month Techniques synthesis characterization structure Structural phasetransitions mechanical properties phonons Defects adsorbates interfaces   cond-mat mes-hall - Mesoscale and Nanoscale Physics  new recent current month Semiconducting nanostructures quantum dots wires and wells Singleelectronics spintronics d electron gases quantum Hall effect nanotubes graphene plasmonic nanostructures   cond-mat other - Other Condensed Matter  new recent current month Work in condensed matter that does not fit into the other cond-matclassifications   cond-mat quant-gas - Quantum Gases  new recent current month Ultracold atomic and molecular gases Bose-Einstein condensation Feshbachresonances spinor condensates optical lattices quantum simulation with coldatoms and molecules macroscopic interference phenomena   cond-mat soft - Soft Condensed Matter  new recent current month Membranes polymers liquid crystals glasses colloids granular matter   cond-mat stat-mech - Statistical Mechanics  new recent current month Phase transitions thermodynamics field theory non-equilibrium phenomena renormalization group and scaling integrable models turbulence   cond-mat str-el - Strongly Correlated Electrons  new recent current month Quantum magnetism non-Fermi liquids spin liquids quantum criticality charge density waves metal-insulator transitions   cond-mat supr-con - Superconductivity  new recent current month Superconductivity theory models experiment Superflow in helium  About arXiv  Leadership Team  __Contact Us  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
"Search   e-print repository httpsarxivorgsearchcon12","Search  arXiv e-print repository https  arxiv org search cond-mat  Page  https  webstats arxiv org matomo php?idsite= rec=  CornellUniversity https  static arxiv org static base  images cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv https  static arxiv org static base  images arxiv-logo-web svg Help  Advanced SearchAll fields Title Author Abstract Comments Journal reference ACM classificationMSC classification Report number arXiv identifier DOI ORCID arXiv author IDHelp pages Full textSearchLogin  SearchSearch v released --  Feedback?Searching in archive  cond-mat  Search in all archives Search term or termsField All fieldsTitleAuthor s AbstractCommentsJournal referenceACMclassificationMSC classificationReport numberarXiv identifierDOIORCIDLicense URI arXiv author IDHelp pagesFull textSearchShow abstracts Hide abstractsAdvanced Search   Searching by Author Name  Using the  Author s field  produces best results for author name searches   For the most precise name search follow  surname s  forename s  or  surname s  initial s  pattern example Hawking S or Hawking Stephen  For best results on multiple author names  separate individuals with a   semicolon  Example Jin D S Ye J  Author names enclosed in quotes will return only  exact matches  For example  Stephen Hawking will not return matches for Stephen W Hawking   Diacritic character variants are automatically searched in the Author s field   Queries with no punctuation will treat each term independently  TipsWildcards   Use ? to replace a single character or  to replace any number of characters   Can be used in any field but not in the first character position See Journal References tips for exceptions Expressions   TeX expressions can be searched enclosed in single  characters Phrases   Enclose phrases in double quotes for exact matches in title abstract and comments Dates   Sorting by announcement date will use the year and month the _original version_ v of the paper was announced   Sorting by submission date will use the year month and day the _latest version_ of the paper was submitted Journal References   If a journal reference search contains a wildcard matches will be made using wildcard matching as expected For example  math  will match _math_  _maths_  _mathematics_   If a journal reference search does  not  contain a wildcard only exact phrases entered will be matched For example  math  would match _math_ or _math and science_ but not _maths_ or _mathematics_   All journal reference searches that do not contain a wildcard are literal searches a search for  Physica A  will match all papers with journal references containing _Physica A_  but a search for  Physica A     will only return the paper with journal reference _Physica A   _ Search v released --  Feedback?  About arXiv  Leadership Team  __Contact  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
"General Relativity and Quantum Cosmology httpsarxi13","General Relativity and Quantum Cosmology https  arxiv org archive gr-qc  Page   https  static arxiv org icons close-slider png  Donate to arXivPlease join the Simons Foundation and our generous member organizations insupporting arXiv during our giving campaign  of your contribution willfund improvements and new initiatives to benefit arXiv's global scientificcommunity  DONATE  secure site no need to create account   https  webstats arxiv org matomo php?idsite= rec=  Cornell University https  static arxiv org icons cu cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv org > gr-qcAll fields Title Author s Abstract Comments Journal reference ACMclassification MSC classification Report number arXiv identifier DOI ORCIDarXiv author ID Help pages Full text Help  Advanced search  General Relativity and Quantum Cosmology since July For a _specific paper_  enter the identifier into the top right search box    Browse     new most recent mailing with abstracts    recent last mailings    current month's gr-qc listings   specific year month  all months Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    Catch-up  Changes since                  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec                view results without with abstracts    Search  within the gr-qc archive  Article statistics by year                 About arXiv  Leadership Team  __Contact Us  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
"Search   e-print repository httpsarxivorgsearchgr-14","Search  arXiv e-print repository https  arxiv org search gr-qc  Page   https  webstats arxiv org matomo php?idsite= rec=  CornellUniversity https  static arxiv org static base  images cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv https  static arxiv org static base  images arxiv-logo-web svg Help  Advanced SearchAll fields Title Author Abstract Comments Journal reference ACM classificationMSC classification Report number arXiv identifier DOI ORCID arXiv author IDHelp pages Full textSearchLogin  SearchSearch v released --  Feedback?Searching in archive  gr-qc  Search in all archives Search term or termsField All fieldsTitleAuthor s AbstractCommentsJournal referenceACMclassificationMSC classificationReport numberarXiv identifierDOIORCIDLicense URI arXiv author IDHelp pagesFull textSearchShow abstracts Hide abstractsAdvanced Search   Searching by Author Name  Using the  Author s field  produces best results for author name searches   For the most precise name search follow  surname s  forename s  or  surname s  initial s  pattern example Hawking S or Hawking Stephen  For best results on multiple author names  separate individuals with a   semicolon  Example Jin D S Ye J  Author names enclosed in quotes will return only  exact matches  For example  Stephen Hawking will not return matches for Stephen W Hawking   Diacritic character variants are automatically searched in the Author s field   Queries with no punctuation will treat each term independently  TipsWildcards   Use ? to replace a single character or  to replace any number of characters   Can be used in any field but not in the first character position See Journal References tips for exceptions Expressions   TeX expressions can be searched enclosed in single  characters Phrases   Enclose phrases in double quotes for exact matches in title abstract and comments Dates   Sorting by announcement date will use the year and month the _original version_ v of the paper was announced   Sorting by submission date will use the year month and day the _latest version_ of the paper was submitted Journal References   If a journal reference search contains a wildcard matches will be made using wildcard matching as expected For example  math  will match _math_  _maths_  _mathematics_   If a journal reference search does  not  contain a wildcard only exact phrases entered will be matched For example  math  would match _math_ or _math and science_ but not _maths_ or _mathematics_   All journal reference searches that do not contain a wildcard are literal searches a search for  Physica A  will match all papers with journal references containing _Physica A_  but a search for  Physica A     will only return the paper with journal reference _Physica A   _ Search v released --  Feedback?  About arXiv  Leadership Team  __Contact  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
"High Energy Physics - Experiment httpsarxivorgarch15","High Energy Physics - Experiment https  arxiv org archive hep-ex  Page   https  static arxiv org icons close-slider png  Donate to arXivPlease join the Simons Foundation and our generous member organizations insupporting arXiv during our giving campaign  of your contribution willfund improvements and new initiatives to benefit arXiv's global scientificcommunity  DONATE  secure site no need to create account   https  webstats arxiv org matomo php?idsite= rec=  Cornell University https  static arxiv org icons cu cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv org > hep-exAll fields Title Author s Abstract Comments Journal reference ACMclassification MSC classification Report number arXiv identifier DOI ORCIDarXiv author ID Help pages Full text Help  Advanced search  High Energy Physics - Experiment since April For a _specific paper_  enter the identifier into the top right search box    Browse     new most recent mailing with abstracts    recent last mailings    current month's hep-ex listings   specific year month  all months Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    Catch-up  Changes since                  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec               view results without with abstracts    Search  within the hep-ex archive  Article statistics by year                About arXiv  Leadership Team  __Contact Us  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
"Search   e-print repository httpsarxivorgsearchhep16","Search  arXiv e-print repository https  arxiv org search hep-ex  Page   https  webstats arxiv org matomo php?idsite= rec=  CornellUniversity https  static arxiv org static base  images cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv https  static arxiv org static base  images arxiv-logo-web svg Help  Advanced SearchAll fields Title Author Abstract Comments Journal reference ACM classificationMSC classification Report number arXiv identifier DOI ORCID arXiv author IDHelp pages Full textSearchLogin  SearchSearch v released --  Feedback?Searching in archive  hep-ex  Search in all archives Search term or termsField All fieldsTitleAuthor s AbstractCommentsJournal referenceACMclassificationMSC classificationReport numberarXiv identifierDOIORCIDLicense URI arXiv author IDHelp pagesFull textSearchShow abstracts Hide abstractsAdvanced Search   Searching by Author Name  Using the  Author s field  produces best results for author name searches   For the most precise name search follow  surname s  forename s  or  surname s  initial s  pattern example Hawking S or Hawking Stephen  For best results on multiple author names  separate individuals with a   semicolon  Example Jin D S Ye J  Author names enclosed in quotes will return only  exact matches  For example  Stephen Hawking will not return matches for Stephen W Hawking   Diacritic character variants are automatically searched in the Author s field   Queries with no punctuation will treat each term independently  TipsWildcards   Use ? to replace a single character or  to replace any number of characters   Can be used in any field but not in the first character position See Journal References tips for exceptions Expressions   TeX expressions can be searched enclosed in single  characters Phrases   Enclose phrases in double quotes for exact matches in title abstract and comments Dates   Sorting by announcement date will use the year and month the _original version_ v of the paper was announced   Sorting by submission date will use the year month and day the _latest version_ of the paper was submitted Journal References   If a journal reference search contains a wildcard matches will be made using wildcard matching as expected For example  math  will match _math_  _maths_  _mathematics_   If a journal reference search does  not  contain a wildcard only exact phrases entered will be matched For example  math  would match _math_ or _math and science_ but not _maths_ or _mathematics_   All journal reference searches that do not contain a wildcard are literal searches a search for  Physica A  will match all papers with journal references containing _Physica A_  but a search for  Physica A     will only return the paper with journal reference _Physica A   _ Search v released --  Feedback?  About arXiv  Leadership Team  __Contact  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
"High Energy Physics - Lattice httpsarxivorgarchive17","High Energy Physics - Lattice https  arxiv org archive hep-lat  Page   https  static arxiv org icons close-slider png  Donate to arXivPlease join the Simons Foundation and our generous member organizations insupporting arXiv during our giving campaign  of your contribution willfund improvements and new initiatives to benefit arXiv's global scientificcommunity  DONATE  secure site no need to create account   https  webstats arxiv org matomo php?idsite= rec=  Cornell University https  static arxiv org icons cu cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv org > hep-latAll fields Title Author s Abstract Comments Journal reference ACMclassification MSC classification Report number arXiv identifier DOI ORCIDarXiv author ID Help pages Full text Help  Advanced search  High Energy Physics - Lattice since February For a _specific paper_  enter the identifier into the top right search box    Browse     new most recent mailing with abstracts    recent last mailings    current month's hep-lat listings   specific year month  all months Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    Catch-up  Changes since                  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec                view results without with abstracts    Search  within the hep-lat archive  Article statistics by year                 About arXiv  Leadership Team  __Contact Us  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
"Search   e-print repository httpsarxivorgsearchhep18","Search  arXiv e-print repository https  arxiv org search hep-lat  Page   https  webstats arxiv org matomo php?idsite= rec=  CornellUniversity https  static arxiv org static base  images cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv https  static arxiv org static base  images arxiv-logo-web svg Help  Advanced SearchAll fields Title Author Abstract Comments Journal reference ACM classificationMSC classification Report number arXiv identifier DOI ORCID arXiv author IDHelp pages Full textSearchLogin  SearchSearch v released --  Feedback?Searching in archive  hep-lat  Search in all archives Search term or termsField All fieldsTitleAuthor s AbstractCommentsJournal referenceACMclassificationMSC classificationReport numberarXiv identifierDOIORCIDLicense URI arXiv author IDHelp pagesFull textSearchShow abstracts Hide abstractsAdvanced Search   Searching by Author Name  Using the  Author s field  produces best results for author name searches   For the most precise name search follow  surname s  forename s  or  surname s  initial s  pattern example Hawking S or Hawking Stephen  For best results on multiple author names  separate individuals with a   semicolon  Example Jin D S Ye J  Author names enclosed in quotes will return only  exact matches  For example  Stephen Hawking will not return matches for Stephen W Hawking   Diacritic character variants are automatically searched in the Author s field   Queries with no punctuation will treat each term independently  TipsWildcards   Use ? to replace a single character or  to replace any number of characters   Can be used in any field but not in the first character position See Journal References tips for exceptions Expressions   TeX expressions can be searched enclosed in single  characters Phrases   Enclose phrases in double quotes for exact matches in title abstract and comments Dates   Sorting by announcement date will use the year and month the _original version_ v of the paper was announced   Sorting by submission date will use the year month and day the _latest version_ of the paper was submitted Journal References   If a journal reference search contains a wildcard matches will be made using wildcard matching as expected For example  math  will match _math_  _maths_  _mathematics_   If a journal reference search does  not  contain a wildcard only exact phrases entered will be matched For example  math  would match _math_ or _math and science_ but not _maths_ or _mathematics_   All journal reference searches that do not contain a wildcard are literal searches a search for  Physica A  will match all papers with journal references containing _Physica A_  but a search for  Physica A     will only return the paper with journal reference _Physica A   _ Search v released --  Feedback?  About arXiv  Leadership Team  __Contact  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
"High Energy Physics - Phenomenology httpsarxivorga19","High Energy Physics - Phenomenology https  arxiv org archive hep-ph  Page  https  static arxiv org icons close-slider png  Donate to arXivPlease join the Simons Foundation and our generous member organizations insupporting arXiv during our giving campaign  of your contribution willfund improvements and new initiatives to benefit arXiv's global scientificcommunity  DONATE  secure site no need to create account   https  webstats arxiv org matomo php?idsite= rec=  Cornell University https  static arxiv org icons cu cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv org > hep-phAll fields Title Author s Abstract Comments Journal reference ACMclassification MSC classification Report number arXiv identifier DOI ORCIDarXiv author ID Help pages Full text Help  Advanced search  High Energy Physics - Phenomenology since March For a _specific paper_  enter the identifier into the top right search box    Browse     new most recent mailing with abstracts    recent last mailings    current month's hep-ph listings   specific year month  all months Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    Catch-up  Changes since                  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec                view results without with abstracts    Search  within the hep-ph archive  Article statistics by year                 About arXiv  Leadership Team  __Contact Us  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
"Search   e-print repository httpsarxivorgsearchhep20","Search  arXiv e-print repository https  arxiv org search hep-ph  Page   https  webstats arxiv org matomo php?idsite= rec=  CornellUniversity https  static arxiv org static base  images cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv https  static arxiv org static base  images arxiv-logo-web svg Help  Advanced SearchAll fields Title Author Abstract Comments Journal reference ACM classificationMSC classification Report number arXiv identifier DOI ORCID arXiv author IDHelp pages Full textSearchLogin  SearchSearch v released --  Feedback?Searching in archive  hep-ph  Search in all archives Search term or termsField All fieldsTitleAuthor s AbstractCommentsJournal referenceACMclassificationMSC classificationReport numberarXiv identifierDOIORCIDLicense URI arXiv author IDHelp pagesFull textSearchShow abstracts Hide abstractsAdvanced Search   Searching by Author Name  Using the  Author s field  produces best results for author name searches   For the most precise name search follow  surname s  forename s  or  surname s  initial s  pattern example Hawking S or Hawking Stephen  For best results on multiple author names  separate individuals with a   semicolon  Example Jin D S Ye J  Author names enclosed in quotes will return only  exact matches  For example  Stephen Hawking will not return matches for Stephen W Hawking   Diacritic character variants are automatically searched in the Author s field   Queries with no punctuation will treat each term independently  TipsWildcards   Use ? to replace a single character or  to replace any number of characters   Can be used in any field but not in the first character position See Journal References tips for exceptions Expressions   TeX expressions can be searched enclosed in single  characters Phrases   Enclose phrases in double quotes for exact matches in title abstract and comments Dates   Sorting by announcement date will use the year and month the _original version_ v of the paper was announced   Sorting by submission date will use the year month and day the _latest version_ of the paper was submitted Journal References   If a journal reference search contains a wildcard matches will be made using wildcard matching as expected For example  math  will match _math_  _maths_  _mathematics_   If a journal reference search does  not  contain a wildcard only exact phrases entered will be matched For example  math  would match _math_ or _math and science_ but not _maths_ or _mathematics_   All journal reference searches that do not contain a wildcard are literal searches a search for  Physica A  will match all papers with journal references containing _Physica A_  but a search for  Physica A     will only return the paper with journal reference _Physica A   _ Search v released --  Feedback?  About arXiv  Leadership Team  __Contact  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
